character_name,traits,category,traints
emjay anthony,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ruth bradley,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
linda blair,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
daniel padilla,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
isabel glasser,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
molly hagan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
brett goldstein,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
maya basol,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bug hall,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kim seo-hyung,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kevin dunn,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
seo kang-joon,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sonya cassidy,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
brandy norwood,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
melinda clarke,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
makenzie vega,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ross butler,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
leah ayres,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kate mckinnon,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
will friedle,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
max charles,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
itziar atienza,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
zhao wei,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sunny suljic,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lucy fry,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
greyston holt,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
yuliya khlynina,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kim hyun-joo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
cameron bright,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
scott mechlowicz,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
nisa sofiya aksongur,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
akiva schaffer,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
justin bruening,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
harold perrineau,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
janet mcteer,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
dana andrews,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
eliza roberts,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
dean stockwell,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
daiki yamashita,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
callie hernandez,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
emma dumont,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
roberto garcía ruiz,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mrunal thakur,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
yuma uchida,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lee min-ki,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
diego klattenhoff,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
banks repeta,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kris marshall,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
brandy ledford,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
milo manheim,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
